id,confidence,score,title,publisher,url,description,reasons
r-1908,high,10,STAO (Science Teachers' Association of Ontario) — Resource Library,Official Curriculum Documents,https://stao.ca/resources/,"STAO maintains an Ontario-curriculum-aligned library of vetted lesson plans, safety notes, and inquiry sequences from practising Ontario teachers covering Grade 7 Strand C topics including particle theory, mechanical mixtures, and solutions.",title_strong:library; url_shallow:/resources/; url_weak:/resources; url_trailing_slash:/; desc_phrase:library of; many_expectations:n=4
r-148,high,9,BC Financial Literacy Resources Hub,BC Education Resource Acquisition Consortium,https://www.bcerac.ca/financial-literacy,"A comprehensive collection of financial literacy resources aligned with BC's curriculum, including lesson plans, student worksheets, and interactive activities about budgeting, saving, and financial decision-making.",title_strong:hub; title_weak:resources; url_shallow:/financial-literacy; desc_phrase:collection of; many_expectations:n=4
r-2102,high,9,Brilliant.org - Interactive Mathematics Courses,Online Platform,https://brilliant.org/math/,"Step-by-step interactive lessons with custom feedback, animations, and simulations making abstract math concepts tangible and interconnected.",title_strong:course; title_strong:courses; url_shallow:/math/; url_trailing_slash:/
r-1909,high,9,Edwin (formerly Nelson) — Ontario Science Resources Hub,Ontario-Aligned Public Platforms,https://www.edwin.app/,"Ontario-aligned digital learning platform from Nelson Education with curriculum-mapped Grade 7 Science units, embedded particle theory simulations, and inquiry-style activities aligned to Strand C expectations.",title_strong:hub; title_weak:resources; url_root:/; url_trailing_slash:/; many_expectations:n=4
r-1202,high,9,Grade 7 Financial Literacy Unit — Teachers Pay Teachers (TPT),Teaching Units and Lesson Plans,https://www.teacherspayteachers.com/browse?search=financial+literacy+grade+7,"Diverse collection of Grade 7 financial literacy units on TPT including budgeting games, life simulations, assessment packages, and complete units with multiple activity types.",title_strong:unit; url_shallow:/browse; url_strong:/browse; desc_phrase:collection of
r-2140,high,9,Let's Talk Science — Ontario Curriculum Lessons,Online Platform,https://letstalkscience.ca/Lessons-ontario-curriculum,Curated collection of Let's Talk Science lessons explicitly mapped to the Ontario curriculum. Strong support for Strand A engineering design process and structures-related design challenges.,title_strong:curriculum; title_weak:lessons; url_shallow:/lessons-ontario-curriculum; url_weak:/lessons; desc_phrase:collection of
r-1735,high,9,Make Math Moments — Real World Math Lessons & Tasks,Real-World and 3-Act Math Tasks,https://learn.makemathmoments.com/tasks/,"Make Math Moments (Kyle Pearce and Jon Orr) provides a free, searchable library of problem-based math tasks and 3-Act units organized by topic. The measurement filter surfaces volume, surface area, and area tasks suitable for Ontario Grade 7–8.",title_weak:lessons; url_shallow:/tasks/; url_trailing_slash:/; desc_phrase:library of; desc_phrase:organized by; many_expectations:n=4
r-1047,high,9,Math Equals Love – Probability Activities Collection,Enrichment & Problem-Solving,https://mathequalslove.net/probability-activities/,"A curated set of 9 engaging probability games and activities for classroom use, including dice games, card activities, and simulation-based explorations of experimental vs. theoretical probability.",title_strong:collection; title_weak:activities; url_shallow:/probability-activities/; url_trailing_slash:/; desc_phrase:set of
r-1208,high,9,NRICH — Mathematical Problem Collections (Finance Focus),Enrichment and Problem-Based Resources,https://nrich.maths.org,"University of Cambridge's NRICH project offers problem-based activities where students solve mathematical problems in financial contexts, promoting deep mathematical thinking.",title_strong:collection; title_strong:collections; url_root:/
r-1976,high,9,Ontario Curriculum — MTH1W: Elements of the Grade 9 Mathematics Course,Official Ontario Curriculum and Ministry Pages,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-mathematics/courses/mth1w/elements-of-the-grade-9-mathematics-course,"Ministry overview of the structural elements of MTH1W, including the seven mathematical processes, the mathematical modelling cycle, the role of coding, and the social-emotional learning skills woven through Strand A.",title_strong:course; title_strong:curriculum; url_strong:/courses; many_expectations:n=4
r-1281,high,9,OntarioMath.Support — Number Resources Directory,Ontario-Aligned Platforms,https://ontariomath.support/?pg=results&type=subject&lang=EN&subject=Number,"OAME-curated directory of Ontario-aligned Number strand resources including lessons, tasks, videos, and teacher supports filtered by strand; links directly to Ministry and board-approved materials.",title_strong:directory; title_weak:resources; url_root:/; url_trailing_slash:/; many_expectations:n=4
r-1950,high,9,OnTheMarkPress — Ontario Grade 7 History Curriculum Bundle,Lesson Bundles and Teacher-Created Units,https://www.onthemarkpress.com/products/ss15-2020-08-new,Canadian publisher OnTheMarkPress's bundled set of Ontario-aligned Grade 7 history workbooks with assessment tools and rubrics; popular with itinerant and supply teachers.,title_strong:curriculum; title_strong:bundle; desc_phrase:set of; many_expectations:n=4
r-1629,high,9,SCCDSB Math Community — Assessment Hub,Library Guides & Curated Assessment Directories,https://math.sccdsb.net/assessment,"Curated assessment hub from the Simcoe County Catholic DSB. Includes Grade 8 moderated assessment tasks (Fall and Spring), Gap Closing diagnostic and intervention materials for the Intermediate division, and assessment-for-learning templates other Ontario boards have adopted.",title_strong:unit; title_strong:hub; url_shallow:/assessment; many_expectations:n=4
r-2002,high,9,STAO — Grade 7-8 Science & Tech Resource Category,Ontario-Aligned Platforms,https://stao.ca/category/gr-7-8-science-tech/,"Science Teachers' Association of Ontario library of teacher-vetted Grade 7–8 resources directly aligned to the 2022 Ontario curriculum, including the Grade 8 cells unit.",title_strong:category; url_strong:/category; url_trailing_slash:/; desc_phrase:library of; many_expectations:n=4
r-1159,high,9,TVDSB Grade 9 MTH1W Desmos Activities Hub (Thames Valley DSB),School Board Curated Sites,https://sites.google.com/gotvdsb.ca/tvdsb-math-9-12/grades-9-12/grade-9/mth1w/desmos-activities,"Curated collection of Desmos Classroom activities mapped to MTH1W expectations, with direct links organized by strand.",title_strong:hub; title_weak:activities; desc_phrase:collection of; desc_phrase:organized by; many_expectations:n=5
r-2269,high,9,Upper Canada VLC — Grade 8 Geography (Course Hub),Ontario-aligned curriculum platforms (TVO Learn + VLC libguides),https://vlc.ucdsb.ca/8geography,"Top-level Grade 8 Geography page for the Upper Canada VLC; pulls together both Grade 8 Geography strands, useful for cross-strand inquiries and student starting points.",title_strong:course; title_strong:hub; url_shallow:/8geography; many_expectations:n=4
r-1160,high,8,BHNmath MTH1W1 Course Resources,School Board Curated Sites,https://www.bhnmath.ca/teachers/courses/mth1w1/,"Teacher-authored site with scope and sequence, daily warm-ups, virtual manipulative links, and problem-solving tasks aligned to the MTH1W expectations.",title_strong:course; title_weak:resources; url_strong:/courses; url_trailing_slash:/; many_expectations:n=4
r-1027,high,8,CEMC Courseware – Grades 7 & 8 Mathematics (Probability Unit),Official & Ontario-Aligned Curriculum Resources,https://courseware.cemc.uwaterloo.ca/27?gid=96,"The University of Waterloo CEMC provides free probability lessons covering tree diagrams, sample spaces, counting outcomes, and using simulations to estimate probabilities. No registration required.",title_strong:unit; title_strong:course; url_shallow:/27
r-1990,high,8,CEMC Open Courseware — Grades 9/10/11 Linear Relations and Analytic Geometry (Unit 42),Open Courseware and Curriculum-Aligned Online Practice,https://courseware.cemc.uwaterloo.ca/42,"Centre for Education in Mathematics and Computing (University of Waterloo) free open courseware module specifically focused on linear relations and analytic geometry, with interactive lessons, worked examples, and self-check problems suitable for MTH1W.",title_strong:unit; title_strong:course; url_shallow:/42
r-2230,high,8,Code.org — Comprehensive Coding Curriculum,Online Platform,https://code.org,Nonprofit providing free K-12 coding curriculum with block-to-text progression. Fully browser-based courses require no downloads. Teaches foundational computational thinking skills that are core to STEM Skills and Connections.,title_strong:curriculum; url_root:/; desc_phrase:browse
r-1029,high,8,Desmos Classroom – Probability Activities Collection,Interactive Platforms & Simulations,https://classroom.amplify.com/collection/5cfea03ef38cad61b964b573,"A curated collection of Desmos Classroom probability activities including interactive spinners, dice simulations, and guided explorations of theoretical and experimental probability.",title_strong:collection; title_weak:activities; url_strong:/collection; desc_phrase:collection of
r-1161,high,8,Desmos Classroom — MTH1W Activity Collection,Interactive Platforms and Digital Manipulatives,https://teacher.desmos.com/collection/60ef4854fb262e434ba8270a,"A curated Desmos Classroom collection of activities specifically aligned with MTH1W curriculum expectations, including real-time student monitoring for teacher feedback.",title_strong:collection; url_strong:/collection; desc_phrase:collection of; many_expectations:n=4
r-1120,high,8,Desmos – Middle School Statistics Activities Collection,Interactive Tools & Visualization Platforms,https://classroom.amplify.com/collection/5da8a6474d5c010a4455b470,"A curated collection of Desmos Classroom activities for middle school statistics, covering univariate and bivariate data represented in dot plots, histograms, scatter plots, and box plots.",title_strong:collection; title_weak:activities; url_strong:/collection; desc_phrase:collection of
r-2198,high,8,edX — Astronomy Courses and Programs,Online Platform,https://www.edx.org/learn/astronomy,"Collection of university-level astronomy courses available on edX, including offerings from leading institutions in astronomy and planetary science.",title_strong:course; title_strong:courses; desc_phrase:collection of
r-2077,high,8,Illustrative Mathematics — Grade 8 Unit 4: Linear Equations and Systems (Open Source Curriculum),Online Platform,https://curriculum.illustrativemathematics.org/MS/teachers/3/4/index.html,"Highly rated EdReports curriculum from Illustrative Mathematics, openly licensed. Provides 16 lessons of teacher-facing materials with anticipated student strategies, formative assessment, and culminating tasks aligned to Grade 8 equation-solving expectations.",title_strong:unit; title_strong:curriculum; url_strong:/index
r-1403,high,8,Illustrative Mathematics — Grade 8 Unit 6: Associations in Data,Open Curricula & Lesson Sequences,https://im.kendallhunt.com/MS/teachers/3/6/index.html,"Open Educational Resources unit on bivariate data and associations. Includes lessons on scatter plots, two-way tables, segmented bar graphs, and informal lines of fit — directly maps to Grade 8 D1 graph-selection and scatter-plot expectations.",title_strong:unit; url_strong:/index; desc_phrase:includes lessons; many_expectations:n=4
r-1220,high,8,Math Knowledge Network (MKN) — Indigenous Knowledge Community of Practice (Fields Institute / FNMIEAO),Indigenous-Led Math Programs & Networks,https://mkn-rcm.ca/indigenousknowledge/,"Ontario's own Indigenous Knowledge and Mathematics Community of Practice, led by the First Nations, Métis and Inuit Education Association of Ontario (FNMIEAO) and hosted at the Fields Institute. Ministry-funded, directly Ontario-aligned, with video exemplars showing Anishinaabe educators teaching math.",title_strong:unit; title_weak:practice; url_shallow:/indigenousknowledge/; url_trailing_slash:/; many_expectations:n=4
r-1625,high,8,My Call to Teach — Grade 8 Ontario Math Curriculum Tests & Quizzes Bundle,Teacher-Created Grade 8 Ontario Assessment Bundles — TPT/Commercial,https://mycalltoteach.com/products/grade-8-ontario-math-curriculum-full-year-assessment-bundle-tests-quizzes,"Comprehensive Grade 8 Ontario assessment bundle from a popular Ontario teacher-creator. Each unit has a Mid-Chapter Quiz and Unit Test with all four achievement chart categories (K&U, Thinking, Application, Communication) represented; fully editable.",title_strong:curriculum; title_strong:bundle; publisher_hint:tpt; many_expectations:n=4
r-1131,high,8,NRICH – Data and Statistics Collection (Secondary),Enrichment & Data Inquiry Resources,https://nrich.maths.org/9074,"A curated collection of rich data handling problems from the University of Cambridge's NRICH project. Activities emphasize high-level thinking about what graphs communicate, pattern recognition in data, and justifying conclusions — ideal for enrichment and deeper mathematical reasoning.",title_strong:collection; url_shallow:/9074; desc_phrase:collection of; many_expectations:n=4
r-1175,high,8,NRICH — Year 9 Problems (Cambridge University),Enrichment and Problem-Solving,https://nrich.maths.org/year-9-working-systematically,"University of Cambridge's NRICH collection of Year 9 rich tasks organized by strand/topic, suitable for lesson starters, extensions, or formative assessment in MTH1W.",title_weak:problems; url_shallow:/year-9-working-systematically; desc_phrase:collection of; desc_phrase:organized by; many_expectations:n=4
r-1975,high,8,Ontario Curriculum — MTH1W: Course Introduction,Official Ontario Curriculum and Ministry Pages,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-mathematics/courses/mth1w/course-intro,"The official Ontario Ministry of Education introduction page for MTH1W, articulating the course rationale, de-streaming vision, and the role of mathematical processes, modelling, coding, and culturally responsive pedagogy.",title_strong:course; title_strong:curriculum; url_strong:/courses
r-1012,high,8,OntarioMath.Support — Algebra Resources,Ontario-Specific Educational Platforms,https://ontariomath.support/?pg=results&type=subject&lang=EN&subject=Algebra,"Official Ontario Mathematics Support website providing curated collection of free algebra resources aligned to Ontario curriculum, including coding integration activities.",title_weak:resources; url_root:/; url_trailing_slash:/; desc_phrase:collection of; many_expectations:n=4
r-1594,high,8,OntarioMath.Support — Geometric Reasoning Resources,Ontario-Aligned Platforms & Publishers,https://ontariomath.support/,Teacher-curated collection of geometric reasoning resources specifically aligned to Ontario 2020 expectations.,title_weak:resources; url_root:/; url_trailing_slash:/; desc_phrase:collection of; many_expectations:n=5
r-1336,high,8,OntarioMath.Support — Grade 8 Curriculum Supports,Ontario-Aligned Platforms,https://ontariomath.support/?grade=8&pg=results,"Educator-built Ontario alignment hub with a Strand E continuum mapping Grade 8 specific expectations to free supporting resources (videos, manipulatives, Scratch projects for scale factor and Cartesian transformations). Includes teacher notes and sample lessons.",title_strong:curriculum; url_root:/; url_trailing_slash:/; many_expectations:n=4
r-104,high,8,Pearson Financial Literacy Workbook Series,Pearson Canada,https://www.pearsoncanadaschool.com/index.cfm?locator=PS3dLi,"Grade-specific workbooks covering essential financial concepts including budgeting, banking, interest rates, and consumer awareness. Includes real-world scenarios and case studies relevant to Canadian students.",title_strong:series; url_shallow:/index.cfm; url_strong:/index; many_expectations:n=5
r-1266,high,8,Polypad (Amplify / Mathigon) — Interface française,Interactive Math Platforms with Full French Interface,https://polypad.amplify.com/fr/,"The full Polypad library of virtual manipulatives, with the interface, labels, and tutorial content available in French. Free, no login required, runs in a browser, and can be embedded in lesson plans or shared via link.",url_shallow:/fr/; url_trailing_slash:/; desc_phrase:library of; desc_phrase:browse; many_expectations:n=4
r-1409,high,8,"Teachers Pay Teachers — Data Unit (D1 Grade 8 Math, 2020 Ontario Curriculum)",Teaching Units & Workbooks (TPT and Commercial),https://www.teacherspayteachers.com/Product/Data-Unit-Data-Literacy-D1-Grade-8-Math-unit-2020-Ontario-Curriculum-3750685,"A complete Grade 8 D1 unit explicitly tagged to the 2020 Ontario curriculum. Includes scatter plot construction, slope analysis, and data interpretation tasks.",title_strong:unit; title_strong:curriculum; publisher_hint:tpt; many_expectations:n=4
r-1555,high,8,Teachers Pay Teachers — Grade 7 Ontario Math Curriculum FULL-YEAR Worksheet Bundle,Teaching Units & Lesson Plans — TPT & Commercial,https://www.teacherspayteachers.com/Product/Grade-7-Ontario-Math-Curriculum-FULL-YEAR-Worksheet-Bundle-all-expectations-8364174,"Comprehensive full-year Grade 7 Ontario bundle covering every expectation including all C3 coding objectives, with answer keys for teacher efficiency.",title_strong:curriculum; title_strong:bundle; publisher_hint:tpt; many_expectations:n=5
r-1564,high,8,"The Medicine Wheel Curriculum Bundle (Indigenizing Learning, UBC)",Curriculum Bundles & Pedagogical Frameworks,https://indigenizinglearning.educ.ubc.ca/curriculum-bundles/the-medicine-wheel/,"Holistic four-quadrant teaching framework with K–12 lessons that use the Medicine Wheel as a starting point for circle geometry, symmetry, ratio, and pattern investigations.",title_strong:curriculum; title_strong:bundle; url_trailing_slash:/; many_expectations:n=4
r-1422,high,8,Toy Theater — Geometry Manipulatives Collection,Virtual Manipulatives & Geometry Apps,https://toytheater.com/category/teacher-tools/virtual-manipulatives/geometry-manipulatives/,"A collection of free, physics-based virtual manipulatives that let students rotate, combine, and stack 2D shapes. Good lightweight option for interactive whiteboards and one-to-one tablet classrooms.",title_strong:collection; url_strong:/category; url_trailing_slash:/; desc_phrase:collection of
r-103,high,7,BetterLesson: Statistics and Probability Unit,BetterLesson,https://betterlesson.com/browse/math/statistics-probability,"Complete lesson plans with student materials, assessments, and teacher guides for statistics and probability units. Includes differentiation strategies and real-world connections.",title_strong:unit; url_strong:/browse; publisher_hint:betterlesson; many_expectations:n=5
r-1563,high,7,"Building Indigenous Mathematical Skills — Curriculum Bundle (Indigenizing Learning, UBC)",Curriculum Bundles & Pedagogical Frameworks,https://indigenizinglearning.educ.ubc.ca/curriculum-bundles/building-indigenous-mathematical-skills/,"UBC's ""Decolonizing Teaching, Indigenizing Learning"" curated bundle of math-focused resources, video lessons, and reflective readings designed for intermediate teachers integrating Indigenous mathematical knowledge.",title_strong:curriculum; title_strong:bundle; url_trailing_slash:/
r-2249,high,7,Canada's History — Classroom Resources Library,Canadian Heritage Organizations & Atlases,https://www.canadashistory.ca/education/classroom-resources,"Searchable library of Canadian classroom-ready lesson plans, including units on resource stewardship, water, forests, and Indigenous land relationships.",title_strong:library; title_weak:resources; desc_phrase:library of; many_expectations:n=4
r-1624,high,7,CCSS Math Activities — Grade 8 Performance Tasks,Open Curricula & Performance-Task Libraries,https://www.ccssmathactivities.com/performance-tasks-grade-8/,"Free Grade 8 performance task library organized by topic. Each task includes a problem statement and discussion of what the task assesses; suitable as Grade 8 summative tasks for Ontario E1/E2, C2, and D1 strands.",title_weak:activities; url_shallow:/performance-tasks-grade-8/; url_trailing_slash:/; desc_phrase:organized by; many_expectations:n=4
r-1670,high,7,EMBARC.Online — Grade 7 Eureka Math (Module Assessment Hub),International Performance Task & Module Assessment Libraries,https://embarc.online/course/index.php?categoryid=9,"EMBARC's teacher-curated Eureka Math Grade 7 hub aggregates mid-module and end-of-module assessments with editable Google Doc versions, useful as a free assessment-item bank.",title_strong:hub; url_strong:/course/; url_strong:/index
r-1258,high,7,"En avant, les maths! (CFORP, financé par le ministère de l'Éducation de l'Ontario)",Ontario Government-Funded Teacher Platforms in French,https://enavantlesmaths.e-a-v.ca/,"A complete suite of French-language teaching resources funded by the Ontario Ministry of Education and developed by CFORP. Includes ""Mini-leçons"" (guided-discovery problems) and ""Concepts mathématiques"" pages organized by grade and domain.",url_root:/; url_trailing_slash:/; desc_phrase:organized by; many_expectations:n=5
r-23,high,7,Epic!: Digital Library for Students,Epic!,https://www.epic.com/,"Digital library with thousands of books, audiobooks, and educational videos. Teachers can assign reading and track student progress.",title_strong:library; url_root:/; url_trailing_slash:/
r-2186,high,7,ExploreLearning Gizmos — Ontario Science Grade 9 Collection,Online Platform,https://gz.explorelearning.com/index.cfm?method=cUser.dspSharedGizmos&GizmoListID=250110,"Over 400 interactive science simulations correlated to Ontario Grade 9 curriculum. Includes Gizmos like Gravity Pitch, Phases of the Moon, Comparing Earth and Venus, and Tides/Eclipses with teacher guides and customizable lesson plans.",title_strong:collection; url_shallow:/index.cfm; url_strong:/index
r-2236,high,7,FIRST Robotics Canada — Curriculum Alignment Resources,Online Platform,https://firstroboticscanada.org/alignment/,"FIRST Robotics provides research-backed educational robotics programs and curriculum alignments for Ontario schools. Programs develop computational thinking, engineering design, and STEM problem-solving skills through hands-on robotics challenges.",title_strong:curriculum; title_weak:resources; url_shallow:/alignment/; url_trailing_slash:/
r-1560,high,7,GitHub — Coding in Math Class (rhelmstedter),"Enrichment, Problem-Solving & Open Resources",https://github.com/rhelmstedter/coding-in-math-class,"Open collection of middle-school math-coding activities in Python — teachers can fork, adapt, and assign directly through browser-based IDEs.",title_strong:hub; desc_phrase:collection of; desc_phrase:browse
r-1499,high,7,"Grade 7 & 8 Financial Literacy Unit — 8 Lessons, Practice Slides, Unit Test",Teaching Units & Lesson Plans (TPT & Commercial),https://www.teacherspayteachers.com/Product/Grade-7-8-Financial-Literacy-8-Lessons-Practice-Slides-Unit-Test-plus-more-6723625,"Bundled 8-lesson Grade 7–8 unit with practice slides, assessments, and a unit test. Ontario-aligned with editable Google Slides components. Saves significant planning time for Grade 8 Strand F.",title_strong:unit; title_weak:lessons; title_weak:practice; publisher_hint:tpt; many_expectations:n=4
r-1365,high,7,Grade 7 Measurement Unit Test (Ontario Curriculum),Teacher-Created Curriculum Resources (Teachers Pay Teachers),https://www.teacherspayteachers.com/Product/Grade-7-Measurement-UNIT-TEST-Ontario-Curriculum-7838791,"Complete unit test for Grade 7 measurement strand assessment, testing all major E2 expectations with detailed answer key.",title_strong:unit; title_strong:curriculum; publisher_hint:teachers pay teachers
r-1704,high,7,Graphing Linear Equations Collection,"Linear Functions, Equations & Slope",https://classroom.amplify.com/collection/5ca64be87c8b7f57c5a48a2d,"Comprehensive collection of activities focused on graphing and interpreting linear equations, with multiple approaches to build conceptual understanding.",title_strong:collection; url_strong:/collection; desc_phrase:collection of
r-2315,high,7,Historica Canada — Learning Tools & Collections,Online Platform,http://education.historicacanada.ca/en/users/1?page_c=1&page_t=3,"Bilingual resources including Historica Minutes videos, Acadian Heritage collection, New France Collection, and interactive learning tools. Includes perspectives from First Nations, Métis, and Inuit communities.",title_strong:collection; title_strong:collections; title_weak:tools
r-2122,high,7,Khan Academy — Personal Finance Course Hub,Interactive & Practice Platforms,https://www.khanacademy.org/college-careers-more/personal-finance,"Khan Academy's full personal finance course landing page with units on saving and budgeting, interest and debt, and consumer credit — ideal for differentiated practice and station work.",title_strong:course; title_strong:hub; many_expectations:n=4
r-1168,high,7,Knowledgehook — Grade 9 Mathematics,Practice and Assessment Platforms,https://www.knowledgehook.com/,"Canadian-built instructional guidance platform with premade activities arranged by strand for Grades 3-10. Includes Gameshow and Mission modes, formative diagnostics, and teacher analytics.",url_root:/; url_trailing_slash:/; desc_phrase:includes games; many_expectations:n=4
r-1641,high,7,Lifepack Coding — Intermediate Pack Hub,Teacher-Created Units & Assessments (TPT and similar),https://www.lifepackcoding.com/grade-7/,Hub page for Lifepack Coding's intermediate (Grade 7–8) lesson plans. Useful for Grade 8 teachers who want to verify which expectations students should already have met before they extend to data analysis.,title_strong:hub; url_shallow:/grade-7/; url_trailing_slash:/; publisher_hint:tpt
r-1738,high,7,Mashup Math — Free Geometry Worksheets Library (with Answer Keys),Practice & Worksheet Libraries,https://www.mashupmath.com/free-geometry-worksheets,"Mashup Math's free, downloadable geometry worksheet library includes practice sets specifically on area, perimeter, surface area, and volume. Each worksheet ships with a complete answer key, making them ready for warm-up, homework, or formative assessment use.",title_strong:library; title_weak:worksheets; url_shallow:/free-geometry-worksheets; many_expectations:n=4
r-1592,high,7,Mathspace — Ontario Grade 7-8 Geometry Units,Ontario-Aligned Platforms & Publishers,https://www.mathspace.co/curriculum/ontario-math,Ontario-aligned digital textbook covering geometric reasoning with step-by-step walkthroughs and spaced repetition.,title_strong:unit; title_strong:units; many_expectations:n=5
r-2330,high,7,Matter Compilation: Crash Course Kids,Crash Course Kids,https://www.youtube.com/watch?v=wyRy8kowyM8,Video compilation from Crash Course Kids covering multiple topics related to matter including what matter is and particle properties. Engaging video format suitable for middle school learners.,title_strong:course; url_shallow:/watch; desc_phrase:multiple topics
r-1981,high,7,Mr. Emmell — MTH1W Course Site (TDSB-aligned),Ontario School Board and Teacher Hubs,https://www.emmell.org/mth1w/,"Ontario teacher's complete MTH1W course site with day-by-day lesson plans, blackline notes, homework sets, and unit assessments, organised by the standard MTH1W unit sequence used in many TDSB schools.",title_strong:course; url_shallow:/mth1w/; url_trailing_slash:/; many_expectations:n=5
